,Unnamed: 166,Unnamed: 184,Unnamed: 181,Unnamed: 178,R1) Joint Funding of Investment (with Agencies),Unnamed: 172,Unnamed: 169,P) External Funding Allocation,Unnamed: 163,Unnamed: 141,Subagency,Unnamed: 224,W) Measurement Instruments Used,B) Year Established,Unnamed: 237,Unnamed: 153,Unnamed: 239,Unnamed: 92,Unnamed: 55,Unnamed: 21,Agency,Unnamed: 159,Unnamed: 240,Unnamed: 209,Unnamed: 107,R2) Joint Funding of Investment (with Other),Q) Legislation Required to Shift Focus?,Unnamed: 175,Unnamed: 128,F1) Primary Investment Objective,Unnamed: 162,H) Educational Services or Products Produced,Unnamed: 177,Y3) Process or Implementation Evaluation Type,Unnamed: 165,Unnamed: 26,Unnamed: 36,Unnamed: 124,Unnamed: 180,Unnamed: 52,Unnamed: 183,Unnamed: 214,Unnamed: 44,Unnamed: 222,Unnamed: 34,Unnamed: 252,Unnamed: 111,Unnamed: 18,Unnamed: 110,Unnamed: 243,Unnamed: 45,Unnamed: 99,Unnamed: 103,Unnamed: 43,Unnamed: 24,Unnamed: 126,L) Minority Serving Institutions,V) Outcomes Measured,Unnamed: 61,Unnamed: 50,Unnamed: 17,Unnamed: 232,Unnamed: 144,Unnamed: 94,Unnamed: 98,Unnamed: 40,Unnamed: 158, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
44,0,0,0,0,0,0,0,0,0,0,62,0,50,1995.0,36,32,0,0,0,0,10,0,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1.42,1.347,1.25
45,0,0,0,0,0,0,0,0,0,85,16,28,0,2006.0,0,0,0,0,0,0,10,0,0,0,11,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,2,1.961,2.461
46,0,0,0,0,0,0,0,0,0,13,16,0,0,2001.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2.564,2.525,2.625
47,0,0,0,0,0,0,0,0,0,12,16,71,0,2001.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.995,3.48,2.975
48,0,0,0,0,0,0,0,0,0,114,15,0,29,2004.0,49,0,27,0,0,0,10,0,12,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0.3,0.3,0.3
49,0,0,0,0,0,0,0,0,0,0,6,0,39,2003.0,0,0,7,0,0,0,10,6,4,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,1.203,3.113,2.988
50,0,0,0,0,0,0,0,0,0,0,62,0,0,1997.0,0,0,0,0,0,0,10,0,0,4,0,0,2,0,0,6,0,1,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0.237,0.362,0.595
51,0,0,0,0,0,0,0,0,0,0,3,0,28,1993.0,41,0,19,0,0,0,10,13,0,0,0,11,2,5,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2.505,1.913,3.088
52,0,0,0,0,0,0,0,0,0,0,62,13,17,2009.0,14,33,0,21,7,6,10,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0.993,0.996
53,0,1,1,2,0,0,0,0,0,0,16,0,3,1989.0,0,0,10,0,0,10,10,0,0,0,0,1,3,3,0,5,0,0,6,0,0,0,1,0,3,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,39.711,38.298,44.502
54,0,0,0,0,0,0,0,0,0,110,15,75,0,2007.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0.287,0.365,0.41
55,0,0,0,0,0,0,0,0,0,52,61,0,0,1995.0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,,0.355,0.355
56,0,0,0,0,0,0,0,0,0,0,3,0,17,2010.0,0,0,39,0,0,0,10,20,22,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,2,,,10
