B) Year Established,Unnamed: 224,Unnamed: 141,Unnamed: 52,W) Measurement Instruments Used,Subagency,Unnamed: 43,Unnamed: 237,I4) Adult Learners Targeted?,Unnamed: 106,Unnamed: 13,Agency,Y3) Process or Implementation Evaluation Type,Unnamed: 252,Unnamed: 21,Unnamed: 222,Unnamed: 92,Y1) Formative Evaluation Type,Unnamed: 34,U) Measured Outputs,Unnamed: 139,Q) Legislation Required to Shift Focus?,J) Focus on Underrepresented Groups in STEM,Unnamed: 94,Unnamed: 99,G3) Research Approaches Not Used,Unnamed: 20,I1) STEM Learners Targeted? Specify.,S) Investment Partnerships,Unnamed: 145,Unnamed: 26,Unnamed: 18,Y2) Summative Evaluation Type,Unnamed: 46,N) STEM Discipline Focus,Unnamed: 226,Y4) Portfolio Evaluation/Review Type,Unnamed: 131,Unnamed: 41,Unnamed: 15,Unnamed: 39,Unnamed: 217,Unnamed: 253,Unnamed: 38,H) Educational Services or Products Produced,Unnamed: 188,Unnamed: 159,Unnamed: 36,L) Minority Serving Institutions,F1) Primary Investment Objective,Unnamed: 82,Unnamed: 83,Unnamed: 148,Unnamed: 227,Unnamed: 206,T) Partnerships with What Organization Types?,Unnamed: 156,Unnamed: 247,Unnamed: 190,Unnamed: 199,Unnamed: 201,Unnamed: 110,Unnamed: 19,Unnamed: 111, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
1995,0,30,0,0,52,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.2,2.3,2.4
2008,7,0,0,44,16,1,4,0,0,0,10,1,0,0,0,0,1,1,2,0,2,1,0,0,1,0,2,4,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,9,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.85,3.42,2.52
2008,32,0,0,42,55,0,2,0,0,0,4,0,0,23,1,0,0,1,1,0,2,1,0,0,1,1,0,4,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,14,0,1,6,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1.0,1.0,1.0
1993,0,0,0,0,11,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10.13,11.4,11.57
1999,0,0,0,0,55,0,0,0,0,0,4,0,0,8,0,0,0,1,1,1,3,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15.44,38.63,49.77
2005,0,21,0,0,23,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,5.6,5.6
1991,0,0,1,17,11,1,0,1,0,1,11,1,0,0,1,0,0,1,0,0,1,2,1,0,0,0,2,4,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,5,0,0,0,1,1,1,1,1,1,1,0,1,1,1,40.47,42.5,44.75
2007,79,0,0,52,10,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,1,0,1,1,1,0,1,0,5.0,5.0,4.37
2001,20,0,0,24,8,0,40,0,0,1,10,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,1,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.6,0.493,0.4
2010,18,112,1,0,47,0,0,0,1,1,5,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.968
1991,0,36,0,0,57,0,0,0,0,1,5,0,0,0,2,5,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8,6.8,7.8
2008,38,0,1,22,55,0,32,0,0,1,4,0,0,0,1,0,0,0,2,0,3,2,0,0,1,0,2,3,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4.74,8.943999999999999,0.0
1914,3,0,0,1,20,0,28,0,0,1,1,0,0,0,0,0,0,0,2,0,3,1,0,0,1,0,2,3,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,26.366999999999997,26.316,24.275
2002,0,0,0,73,40,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,2,1,0,1,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,6,0,0,1,0,1,1,1,0,1,1,1,0,0,0,179.0,179.0,180.5
1993,0,97,0,0,57,0,0,0,0,1,5,0,0,3,2,0,0,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37
2004,36,0,0,53,23,0,0,0,0,0,2,0,0,27,0,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,6,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0.18899999999999997,0.6,0.6
2005,0,0,0,26,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.4530000000000003,10.671,14.644
2006,0,117,0,0,37,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.5,1.5
1997,0,69,1,0,20,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.8,6.327000000000001,9.327
2002,37,0,0,56,23,0,0,1,0,1,2,1,1,20,0,0,1,0,2,0,3,1,0,0,1,1,2,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,4,0,0,1,0,1,1,1,0,0,1,0,0,0,0,9.55,9.7,9.7
1999,0,0,0,13,11,0,0,0,0,1,11,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,4,0,1,0,0,1,1,1,1,0,1,0,1,0,1,54.6,58.84,55.97
1976,0,44,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506,0.528,0.447
1972,19,0,0,0,55,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,7,0,1,5,1,1,0,0,1,1,1,1,0,0,0,0,0,0,13.9,3.5,3.65
1952,22,0,0,41,11,0,16,0,0,1,11,0,0,0,0,0,1,1,2,0,1,1,0,0,1,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,23,1,1,5,0,0,0,1,0,1,0,1,0,0,0,1,0,1,96.02,162.43,136.13
1984,85,98,0,0,57,0,0,0,0,0,5,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0.531,0.547
2009,0,121,0,0,20,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75,0.875
1986,0,132,0,0,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.316,0.39399999999999996
1990,0,59,0,0,20,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0.0,9.26
1993,84,128,1,0,31,0,0,0,0,1,7,0,0,0,2,35,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.287,2.18,2.977
1991,0,0,0,33,58,1,38,0,0,1,5,0,0,0,0,0,0,1,2,1,3,1,0,0,1,0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.67,1.7630000000000001,2.449
0,47,29,0,0,52,0,0,0,0,0,7,0,0,0,0,26,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21.54,21.48,24.81
2005,53,4,0,0,60,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.272,0.55
1999,0,10,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.6,1.6
2001,66,28,0,0,31,0,0,0,0,1,7,0,0,0,0,39,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.029,6.725,5.78
2010,0,0,0,12,16,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.0,0.0,0.387
1997,0,0,0,0,62,0,0,1,0,1,10,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.237,0.36200000000000004,0.595
2008,0,131,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.568,0.763,0.568
1986,0,130,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.1,1.3
